ID,uDay,uTime,uName,uTeacher,Day,Time,Name,Status,SignTime,dtStart,dtEnd,dtSignTime,Link
november24wednesday5:30pm-6:30pmpowerbarbell(e),Wednesday24,5:30pm-6:30pm,Power Barbell (E),Denise R.,,,,,,2021-11-24 17:30:00,2021-11-24 18:30:00,,https://api.groupexpro.com/gxp/reservations/start/index/12473343/11/24/2021
november24wednesday5:45pm-6:45pmzumbaâ®(e),Wednesday24,5:45pm-6:45pm,ZumbaÂ® (E),Aida C.,,,,,,2021-11-24 17:45:00,2021-11-24 18:45:00,,https://api.groupexpro.com/gxp/reservations/start/index/12413906/11/24/2021
november24wednesday6:00pm-7:00pmmovatistrong($),Wednesday24,6:00pm-7:00pm,Movati Strong ($),Cassidy T.,,,,,,2021-11-24 18:00:00,2021-11-24 19:00:00,,https://api.groupexpro.com/gxp/reservations/start/index/12430860/11/24/2021
november24wednesday6:30pm-7:30pmpower&flow(i/a)hot,Wednesday24,6:30pm-7:30pm,Power & Flow (I/A) Hot,Angela T.,,,,,,2021-11-24 18:30:00,2021-11-24 19:30:00,,https://api.groupexpro.com/gxp/reservations/start/index/12464996/11/24/2021
november24wednesday6:45pm-7:45pmstrongbyzumbaâ®(i/a),Wednesday24,6:45pm-7:45pm,STRONG by ZumbaÂ® (I/A),Stewart  T.,,,,,,2021-11-24 18:45:00,2021-11-24 19:45:00,,https://api.groupexpro.com/gxp/reservations/start/index/12411768/11/24/2021
november24wednesday7:00pm-8:00pmbodysculpt(e),Wednesday24,7:00pm-8:00pm,Body Sculpt (E),Sheri-Lynn D.,,,,,,2021-11-24 19:00:00,2021-11-24 20:00:00,,https://api.groupexpro.com/gxp/reservations/start/index/12457423/11/24/2021
november24wednesday8:00pm-9:00pmhothatha(e),Wednesday24,8:00pm-9:00pm,Hot Hatha (E),Melanie Van L.,,,,,,2021-11-24 20:00:00,2021-11-24 21:00:00,,https://api.groupexpro.com/gxp/reservations/start/index/12343898/11/24/2021
november25thursday6:15am-7:15ammovatiintervals(e),Thursday25,6:15am-7:15am,Movati Intervals (E),Erica Z.,,,,,,2021-11-25 06:15:00,2021-11-25 07:15:00,,https://api.groupexpro.com/gxp/reservations/start/index/12343042/11/25/2021
november25thursday6:15am-7:15amhatha(e),Thursday25,6:15am-7:15am,Hatha (E),Dorothy G.,,,,,,2021-11-25 06:15:00,2021-11-25 07:15:00,,https://api.groupexpro.com/gxp/reservations/start/index/12515582/11/25/2021
november25thursday9:00am-10:00ampower&flow(i/a),Thursday25,9:00am-10:00am,Power & Flow (I/A),Jaqueline C.,,,,,,2021-11-25 09:00:00,2021-11-25 10:00:00,,https://api.groupexpro.com/gxp/reservations/start/index/12343902/11/25/2021
november25thursday9:00am-10:00amaquabootcamp(e),Thursday25,9:00am-10:00am,Aqua Bootcamp (E),Laurinda L.,,,,,,2021-11-25 09:00:00,2021-11-25 10:00:00,,https://api.groupexpro.com/gxp/reservations/start/index/12455515/11/25/2021
november25thursday9:00am-10:00ammovatistrong($),Thursday25,9:00am-10:00am,Movati Strong ($),Phil G.,,,,,,2021-11-25 09:00:00,2021-11-25 10:00:00,,https://api.groupexpro.com/gxp/reservations/start/index/12455991/11/25/2021
november25thursday9:15am-10:15amspeed&power(e)â°,Thursday25,9:15am-10:15am,Speed & Power (E) Â°,Jeff T.,,,,,,2021-11-25 09:15:00,2021-11-25 10:15:00,,https://api.groupexpro.com/gxp/reservations/start/index/12343904/11/25/2021
november25thursday9:15am-10:15ambodysculpt(e),Thursday25,9:15am-10:15am,Body Sculpt (E),Elena  T.,,,,,,2021-11-25 09:15:00,2021-11-25 10:15:00,,https://api.groupexpro.com/gxp/reservations/start/index/12433364/11/25/2021
november25thursday9:30am-10:30amtrxâ®sweat(i/a),Thursday25,9:30am-10:30am,TRXÂ® Sweat (I/A),Mychel H.,,,,,,2021-11-25 09:30:00,2021-11-25 10:30:00,,https://api.groupexpro.com/gxp/reservations/start/index/12433369/11/25/2021
november25thursday10:15am-11:15ammovatirom(e),Thursday25,10:15am-11:15am,Movati ROM (E),Jaqueline C.,,,,,,2021-11-25 10:15:00,2021-11-25 11:15:00,,https://api.groupexpro.com/gxp/reservations/start/index/12526935/11/25/2021
november25thursday12:00pm-1:00pmmachineorientation,Thursday25,12:00pm-1:00pm,Machine Orientation,Staff,11/25/2021,12:00pm - 1:00pm,Machine Orientation,TBO,11/22/2021 11:00:00,2021-11-25 12:00:00,2021-11-25 13:00:00,2021-11-22 11:00:00,https://api.groupexpro.com/gxp/reservations/start/index/12502840/11/25/2021
november25thursday12:10pm-12:50pmanti-gravityâ®restorative(e),Thursday25,12:10pm-12:50pm,Anti-GravityÂ® Restorative (E),Jaqueline C.,11/25/2021,12:10pm - 12:50pm,Anti-Gravity® Restorative (E),TBO,11/22/2021 11:10:00,2021-11-25 12:10:00,2021-11-25 12:50:00,2021-11-22 11:10:00,https://api.groupexpro.com/gxp/reservations/start/index/12413392/11/25/2021
november25thursday12:10pm-12:50pmbootcamp(e),Thursday25,12:10pm-12:50pm,Boot Camp (E),Denise R.,,,,,,2021-11-25 12:10:00,2021-11-25 12:50:00,,https://api.groupexpro.com/gxp/reservations/start/index/12414393/11/25/2021
november25thursday12:10pm-12:50pmspeed&power(e)â°,Thursday25,12:10pm-12:50pm,Speed & Power (E) Â°,Nick Van L.,,,,,,2021-11-25 12:10:00,2021-11-25 12:50:00,,https://api.groupexpro.com/gxp/reservations/start/index/12464081/11/25/2021
november25thursday12:10pm-12:50pmaquabootcamp(e),Thursday25,12:10pm-12:50pm,Aqua Bootcamp (E),Mary S.,,,,,,2021-11-25 12:10:00,2021-11-25 12:50:00,,https://api.groupexpro.com/gxp/reservations/start/index/12507865/11/25/2021
november25thursday12:10pm-12:50pmpower&flow(i/a),Thursday25,12:10pm-12:50pm,Power & Flow (I/A),Katherine B.,,,,,,2021-11-25 12:10:00,2021-11-25 12:50:00,,https://api.groupexpro.com/gxp/reservations/start/index/12535485/11/25/2021
